candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00014530,2020,"BLOOMBERG, MICHAEL R.",DEMOCRATIC PARTY,Challenger,P,1119411494,1119298328,113165.79,{C00728154},9/30/2020 0:00,C00728154,"MIKE BLOOMBERG 2020, INC."
P80000722,2020,"BIDEN, JOSEPH R JR",DEMOCRATIC PARTY,Challenger,P,952239369.7,790193382.8,162045986.9,{C00703975},10/14/2020 0:00,C00703975,BIDEN FOR PRESIDENT
P80001571,2020,"TRUMP, DONALD J.",REPUBLICAN PARTY,Incumbent,P,601392178.4,565389516.6,43609964.74,{C00580100},10/14/2020 0:00,C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC."
P00012716,2020,"STEYER, TOM",DEMOCRATIC PARTY,Challenger,P,352134922.8,352074723.7,60316.31,{C00711614},9/30/2020 0:00,C00711614,TOM STEYER 2020
P60007168,2020,"SANDERS, BERNARD",DEMOCRATIC PARTY,Open seat,P,218886160.2,218565357.2,5776781.92,"{C00577130,C00696948}",9/30/2020 0:00,C00696948,BERNIE 2020
P00009621,2020,"WARREN, ELIZABETH",DEMOCRATIC PARTY,Challenger,P,131082389.9,130957965.9,124423.96,{C00693234},9/30/2020 0:00,C00693234,"WARREN FOR PRESIDENT, INC."
P80006117,2020,"KLOBUCHAR, AMY J.",DEMOCRATIC PARTY,Challenger,P,54293224.03,54236282.53,56941.5,{C00696419},9/30/2020 0:00,C00696419,AMY FOR AMERICA
P00009696,2020,"BEHRMAN, DAN TAXATION IS THEFT",LIBERTARIAN PARTY,Challenger,P,50043888.1,50043888.1,0,{C00695320},6/30/2020 0:00,C00695320,COMMITTEE TO ELECT DAN TAXATION IS THEFT BEHRMAN
P00006486,2020,"YANG, ANDREW MR.",DEMOCRATIC PARTY,Challenger,P,42203815.58,42383267.66,165618.16,{C00659938},9/30/2020 0:00,C00659938,FRIENDS OF ANDREW YANG
P00009423,2020,"HARRIS, KAMALA D.",DEMOCRATIC PARTY,Challenger,P,42085872.17,41870657.33,215214.84,{C00694455},9/30/2020 0:00,C00694455,KAMALA HARRIS FOR THE PEOPLE
P00006213,2020,"DELANEY, JOHN K.",DEMOCRATIC PARTY,Challenger,P,29453258.17,29450602.49,24698.52,{C00508416},9/30/2020 0:00,C00508416,FRIENDS OF JOHN DELANEY
P00009795,2020,"BOOKER, CORY A.",DEMOCRATIC PARTY,Challenger,P,26037686.5,26017621.03,20065.47,{C00695510},9/30/2020 0:00,C00695510,CORY 2020
P00009290,2020,"GILLIBRAND, KIRSTEN",DEMOCRATIC PARTY,Challenger,P,15954390.58,14495632.84,1458757.74,{C00694018},10/14/2020 0:00,C00694018,GILLIBRAND 2020
P60016342,2020,"DE  LA  FUENTE, ROQUE ROCKY",REPUBLICAN PARTY,Open seat,P,15630841.08,15621689.02,41218.14,{C00588426},9/30/2020 0:00,C00588426,ROCKY 101 LLC
P00016741,2020,"WEST, KANYE",,Challenger,P,11542526.75,10395234.46,1147292.29,{C00751701},10/14/2020 0:00,C00751701,KANYE 2020
P00009910,2020,"WILLIAMSON, MARIANNE",DEMOCRATIC PARTY,Challenger,P,8239310.75,8237957.13,1353.62,{C00696054},10/14/2020 0:00,C00696054,MARIANNE WILLIAMSON FOR PRESIDENT
P00011833,2020,"BENNET, MICHAEL F.",DEMOCRATIC PARTY,Challenger,P,7520395.5,7509876.86,10518.64,{C00705186},9/30/2020 0:00,C00705186,BENNET FOR AMERICA
P00010454,2020,"INSLEE, JAY R",DEMOCRATIC PARTY,Challenger,P,6942610.55,6897750.21,44860.34,{C00698050},9/30/2020 0:00,C00698050,INSLEE FOR AMERICA
P00011999,2020,"BULLOCK, STEVE",DEMOCRATIC PARTY,Challenger,P,5657893.29,5657893.29,0,{C00706416},9/30/2020 0:00,C00706416,BULLOCK FOR PRESIDENT
P00016550,2020,"PIERCE, BROCK",INDEPENDENT,Challenger,P,5541473.04,5021726.6,519746.44,{C00750745},10/14/2020 0:00,C00750745,BROCK PIERCE FOR PRESIDENT
P00010520,2020,"HICKENLOOPER, JOHN W.",DEMOCRATIC PARTY,Challenger,P,3509495.14,3509495.14,0,{C00698258},9/30/2020 0:00,C00698258,HICKENLOOPER 2020
P00013524,2020,"JORGENSEN, JO",LIBERTARIAN PARTY,Challenger,P,2944056.7,2771493.21,172563.49,{C00718031},10/14/2020 0:00,C00718031,JO JORGENSEN FOR PRESIDENT
P00011312,2020,"SWALWELL, ERIC MICHAEL",DEMOCRATIC PARTY,Challenger,P,2604856.44,2604856.44,0,{C00701698},12/31/2019 0:00,C00701698,SWALWELL FOR AMERICA
P00011866,2020,"MOULTON, SETH",DEMOCRATIC PARTY,Challenger,P,2339794.74,2337652.31,2142.43,{C00704510},9/30/2020 0:00,C00704510,"SETH MOULTON FOR AMERICA, INC."
